,Unnamed: 0,Year,Location,CigaretteSmokingPrevalence,TobaccoSmokingPrevalence,TobaccoUsePrevalance,MostSoldBrandCigaretteCurrency,MostSoldBrandCigarettePrice,rates,MostSoldUSD
183,183,2016,India,12.2,12.1,28.8,INR,158.0,0.013485,2.13063
184,184,2016,Indonesia,30.9,30.9,6.0,IDR,21667.0,7e-05,1.51669
185,185,2016,Iran (Islamic Republic of),17.5,11.2,25.5,IRR,18000.0,2.4e-05,0.432
186,186,2016,Iraq,14.4,2.8,3.9,IQD,500.0,0.000685,0.3424999999999999
187,187,2016,Israel,22.3,26.0,26.0,ILS,35.6,0.311685,11.095986
188,188,2016,Jamaica,3.7,18.7,18.7,JMD,990.3,0.006768,6.702350399999999
189,189,2016,Japan,22.1,22.8,22.8,JPY,440.0,0.00897,3.9468
190,190,2016,Kazakhstan,40.5,43.7,43.7,KZT,290.0,0.002355,0.68295
191,191,2016,Kenya,17.2,10.8,21.8,KES,130.0,0.009055,1.17715
192,192,2016,Kuwait,15.0,2.4,3.6,KWD,0.75,3.319902,2.4899265
193,193,2016,Kyrgyzstan,3.0,3.5,3.5,KGS,55.0,0.011799,0.648945
194,194,2016,Lao People's Democratic Republic,41.5,50.3,39.9,LAK,7000.0,0.000101,0.707
195,195,2016,Lebanon,26.5,34.0,42.6,LBP,3250.0,0.000659,2.14175
196,196,2016,Liberia,13.8,14.1,2.0,LRD,60.0,0.00585,0.351
197,197,2016,Madagascar,15.1,21.0,30.0,MGA,4000.0,0.000252,1.008
198,198,2016,Mauritius,3.3,3.8,49.1,MUR,130.0,0.023443,3.04759
199,199,2016,Mexico,20.7,22.5,22.5,MXN,47.39,0.049186,2.3309245400000003
200,200,2016,Mongolia,37.8,46.3,50.2,MNT,1700.0,0.000352,0.5983999999999999
201,201,2016,Morocco,12.1,14.4,15.5,MAD,20.5,0.110998,2.275459
202,202,2016,Mozambique,11.8,28.0,24.9,MZN,35.0,0.015681,0.548835
203,203,2016,Myanmar,2.7,38.4,46.8,MMK,850.0,0.000535,0.45475
204,204,2016,Namibia,22.9,33.7,28.2,NAD,44.0,0.066971,2.946724
205,205,2016,Nepal,30.2,34.3,34.3,NPR,180.0,0.008448,1.5206400000000002
206,206,2016,Nigeria,3.8,4.3,5.0,NGN,220.0,0.002436,0.53592
207,207,2016,Norway,16.1,20.2,14.1,NOK,108.6,0.115529,12.5464494
208,208,2016,Oman,11.4,15.0,18.5,OMR,1.0,2.593841,2.593841
209,209,2016,Pakistan,2.5,3.4,35.8,PKR,67.0,0.005879,0.393893
210,210,2016,Panama,5.5,2.3,3.0,PAB,4.25,0.999784,4.249082
211,211,2016,Paraguay,18.9,22.6,22.6,PYG,2000.0,0.000146,0.292
212,212,2016,Peru,16.4,17.9,17.9,PEN,10.5,0.24239,2.545095
213,213,2016,Philippines,39.0,42.7,42.7,PHP,40.5,0.019612,0.794286
214,214,2016,Poland,25.4,27.4,27.4,PLN,14.7,0.252176,3.7069872
215,215,2016,Qatar,10.2,11.9,14.1,QAR,10.0,0.276283,2.76283
216,216,2016,Republic of Korea,38.1,40.5,40.5,KRW,4500.0,0.000842,3.789
217,217,2016,Republic of Moldova,40.1,44.3,44.3,MDL,20.0,0.056758,1.13516
218,218,2016,Romania,24.1,26.8,26.8,RON,16.0,0.236175,3.7788
219,219,2016,Russian Federation,28.3,28.7,28.7,RUB,105.0,0.013731,1.441755
220,220,2016,Rwanda,13.5,19.5,20.4,RWF,650.0,0.000992,0.6448
221,221,2016,Samoa,24.1,29.9,29.9,WST,11.5,0.390717,4.4932455
222,222,2016,Saudi Arabia,18.4,12.7,2.2,SAR,12.0,0.266681,3.200172
223,223,2016,Serbia,36.5,41.2,41.2,RSD,220.0,0.009941,2.18702
224,224,2016,Seychelles,31.4,35.9,36.0,SCR,105.0,0.075113,7.886865
225,225,2016,Sierra Leone,30.4,32.6,32.6,SLL,3500.0,9.5e-05,0.3325
226,226,2016,Singapore,24.8,27.9,27.9,SGD,13.0,0.73699,9.58087
